iter	Passed	Remaining
0	500	499870
1	745	372028
2	1028	341834
3	1334	332311
4	1654	329180
5	1933	320370
6	2245	318531
7	2520	312570
8	2787	306958
9	3071	304090
10	3369	302930
11	3641	299846
12	3898	295948
13	4152	292483
14	4427	290746
15	4681	287888
16	5011	289773
17	5283	288226
18	5540	286053
19	5784	283453
20	6038	281522
21	6278	279128
22	6559	278647
23	6827	277649
24	7117	277578
25	7356	275567
26	7608	274188
27	7855	272703
28	8100	271233
29	8360	270320
30	8599	268796
31	8858	267968
32	9131	267582
33	9407	267272
34	9642	265866
35	9885	264722
36	10114	263247
37	10373	262603
38	10627	261870
39	10875	261001
40	11124	260201
41	11375	259469
42	11643	259133
43	11900	258567
44	12152	257897
45	12397	257105
46	12620	255895
47	12849	254839
48	13084	253948
49	13336	253387
50	13558	252288
51	13831	252165
52	14119	252277
53	14388	252057
54	14628	251336
55	14868	250648
56	15128	250290
57	15485	251506
58	15931	254094
59	16285	255144
60	16783	258353
61	17165	259697
62	17504	260337
63	17779	260023
64	18115	260585
65	18561	262667
66	18806	261882
67	19066	261320
68	19335	260888
69	19583	260183
70	19835	259532
71	20085	258874
72	20355	258481
73	20603	257827
74	20848	257130
75	21103	256578
76	21320	255566
77	21563	254888
78	21806	254226
79	22045	253524
80	22269	252667
81	22489	251768
82	22730	251135
83	22970	250482
84	23221	249968
85	23445	249173
86	23668	248379
87	23909	247784
88	24134	247039
89	24381	246521
90	24617	245900
91	24850	245261
92	25099	244789
93	25349	244329
94	25572	243608
95	25797	242924
96	26023	242263
97	26260	241707
98	26481	241008
99	26717	240455
100	26947	239863
101	27197	239446
102	27436	238941
103	27681	238487
104	27901	237828
105	28148	237403
106	28395	236983
107	28621	236389
108	28849	235825
109	29069	235200
110	29306	234718
111	29543	234240
112	29766	233652
113	29983	233025
114	30218	232547
115	30493	232380
116	30765	232189
117	31017	231845
118	31230	231214
119	31458	230695
120	31691	230221
121	31928	229779
122	32155	229273
123	32378	228736
124	32603	228221
125	32848	227851
126	33112	227614
127	33460	227952
128	33678	227393
129	33911	226945
130	34142	226486
131	34365	225978
132	34594	225515
133	34860	225293
134	35113	224989
135	35390	224833
