iter	Passed	Remaining
410	4278	6130
411	4290	6123
412	4302	6114
413	4312	6104
414	4321	6091
415	4331	6080
416	4340	6068
417	4351	6058
418	4359	6045
419	4368	6032
420	4378	6021
421	4387	6009
422	4396	5997
423	4406	5985
424	4417	5976
425	4426	5964
426	4437	5954
427	4448	5944
428	4457	5933
429	4467	5921
430	4478	5912
431	4486	5899
432	4495	5887
433	4504	5873
434	4515	5864
435	4524	5853
436	4533	5840
437	4543	5829
438	4554	5820
439	4564	5809
440	4573	5797
441	4583	5785
442	4593	5775
443	4603	5764
444	4615	5756
445	4626	5746
446	4635	5734
447	4645	5723
448	4654	5712
449	4665	5702
450	4675	5691
451	4683	5678
452	4692	5665
453	4702	5655
454	4712	5644
455	4720	5631
456	4729	5620
457	4738	5607
458	4746	5594
459	4756	5583
460	4769	5576
461	4779	5565
462	4789	5554
463	4798	5542
464	4808	5532
465	4816	5519
466	4826	5508
467	4834	5495
468	4845	5485
469	4855	5475
470	4866	5465
471	4878	5457
472	4889	5448
473	4898	5435
474	4909	5426
475	4918	5414
476	4929	5404
477	4938	5392
478	4946	5380
479	4955	5368
480	4965	5357
481	4975	5347
482	4984	5335
483	4994	5325
484	5003	5313
485	5012	5301
486	5023	5291
487	5031	5279
488	5041	5267
489	5051	5257
490	5061	5247
491	5073	5238
492	5084	5228
493	5095	5219
494	5108	5211
495	5119	5202
496	5131	5193
497	5142	5183
498	5154	5175
499	5169	5169
500	5181	5160
501	5192	5151
502	5204	5142
503	5215	5132
504	5227	5123
505	5237	5112
506	5250	5105
507	5263	5098
508	5276	5089
509	5287	5080
510	5297	5069
511	5309	5060
512	5320	5051
513	5330	5039
514	5341	5030
515	5351	5019
516	5361	5009
517	5371	4998
518	5382	4988
519	5392	4977
520	5404	4968
521	5416	4960
522	5427	4949
523	5438	4940
524	5451	4932
525	5463	4923
526	5474	4913
527	5485	4904
528	5496	4894
529	5507	4883
530	5521	4876
531	5532	4867
532	5542	4856
533	5552	4845
534	5563	4835
535	5574	4825
536	5583	4814
537	5592	4802
538	5604	4793
539	5615	4783
540	5625	4773
541	5635	4762
542	5645	4751
543	5654	4739
544	5664	4728
545	5673	4717
546	5682	4705
547	5691	4694
548	5700	4682
549	5711	4672
550	5720	4661
551	5729	4650
552	5740	4640
553	5751	4629
554	5760	4619
555	5770	4608
556	5781	4598
557	5790	4586
558	5800	4576
559	5811	4565
560	5819	4553
561	5829	4543
562	5840	4533
563	5871	4538
564	5885	4531
565	5899	4523
566	5909	4512
567	5918	4501
568	5927	4489
569	5936	4478
570	5947	4468
571	5958	4458
572	5966	4446
573	5975	4434
574	5985	4423
575	5994	4412
576	6002	4400
577	6011	4389
578	6019	4377
579	6029	4366
580	6039	4355
581	6050	4345
582	6063	4337
583	6072	4325
584	6081	4314
585	6090	4303
586	6099	4291
587	6109	4280
588	6119	4270
589	6129	4259
590	6137	4247
591	6147	4237
592	6157	4225
593	6167	4215
594	6176	4204
595	6184	4192
596	6195	4182
597	6205	4171
598	6215	4160
599	6224	4149
600	6233	4138
601	6242	4127
602	6251	4115
603	6262	4105
604	6271	4094
605	6280	4083
606	6289	4072
607	6300	4061
608	6309	4050
609	6318	4039
610	6329	4030
611	6343	4021
612	6353	4011
613	6365	4001
614	6375	3991
615	6388	3982
616	6400	3972
617	6411	3963
618	6424	3954
619	6438	3946
620	6450	3936
621	6463	3927
622	6475	3918
623	6484	3907
624	6494	3896
625	6503	3885
626	6513	3874
627	6526	3865
628	6537	3855
629	6548	3846
630	6560	3836
631	6570	3825
632	6580	3814
633	6589	3804
634	6598	3792
635	6608	3782
636	6617	3770
637	6625	3759
638	6636	3749
639	6645	3738
640	6656	3728
641	6667	3718
642	6676	3706
643	6688	3697
644	6697	3686
645	6708	3676
646	6718	3665
647	6727	3654
648	6737	3643
649	6747	3633
650	6756	3622
651	6765	3611
652	6774	3600
653	6784	3589
654	6794	3578
655	6804	3568
656	6814	3557
657	6826	3547
658	6837	3538
659	6847	3527
660	6857	3516
661	6867	3506
662	6875	3494
663	6886	3484
664	6894	3473
665	6904	3462
666	6913	3451
667	6921	3440
668	6932	3429
669	6940	3418
670	6951	3408
671	6958	3396
672	6969	3386
673	6979	3375
674	6989	3365
675	6998	3354
676	7008	3343
677	7016	3332
678	7028	3322
679	7037	3311
680	7048	3301
681	7057	3290
682	7066	3279
683	7078	3270
684	7088	3259
685	7099	3249
686	7110	3239
687	7120	3228
688	7131	3218
689	7143	3209
690	7151	3198
691	7161	3187
692	7172	3177
693	7184	3167
694	7196	3158
695	7207	3148
696	7219	3138
697	7231	3128
698	7242	3118
699	7266	3114
700	7275	3103
701	7286	3092
702	7296	3082
703	7306	3072
704	7317	3062
705	7330	3052
706	7341	3042
707	7353	3032
708	7365	3023
709	7376	3012
710	7387	3002
711	7398	2992
712	7408	2982
713	7419	2972
714	7430	2961
715	7442	2952
716	7455	2942
717	7468	2933
718	7481	2923
719	7493	2914
720	7503	2903
721	7517	2894
722	7528	2884
723	7538	2873
724	7550	2864
725	7563	2854
726	7575	2844
