iter	Passed	Remaining
447	1170	1442
448	1173	1439
449	1175	1437
450	1178	1434
451	1180	1431
452	1182	1428
453	1186	1426
454	1188	1423
455	1190	1420
456	1192	1417
457	1195	1414
458	1197	1411
459	1200	1408
460	1203	1406
461	1206	1404
462	1208	1401
463	1210	1398
464	1212	1395
465	1215	1392
466	1218	1390
467	1220	1387
468	1222	1384
469	1224	1381
470	1227	1378
471	1229	1375
472	1232	1373
473	1235	1370
474	1238	1368
475	1240	1365
476	1242	1362
477	1245	1359
478	1248	1358
479	1251	1356
480	1255	1354
481	1257	1351
482	1260	1348
483	1262	1346
484	1265	1343
485	1267	1340
486	1269	1337
487	1272	1335
488	1274	1332
489	1277	1329
490	1280	1327
491	1283	1324
492	1285	1322
493	1288	1319
494	1290	1316
495	1293	1314
496	1296	1312
497	1299	1310
498	1302	1307
499	1305	1305
500	1307	1302
501	1311	1300
502	1313	1297
503	1315	1294
504	1318	1292
505	1320	1289
506	1323	1286
507	1327	1285
508	1329	1282
509	1331	1279
510	1334	1276
511	1336	1274
512	1341	1273
513	1344	1271
514	1346	1268
515	1349	1265
516	1351	1262
517	1354	1259
518	1356	1257
519	1359	1254
520	1361	1251
521	1363	1248
522	1365	1245
523	1367	1242
524	1370	1240
525	1373	1237
526	1376	1235
527	1377	1231
528	1380	1228
529	1382	1225
530	1384	1223
531	1387	1220
532	1390	1217
533	1392	1215
534	1394	1212
535	1396	1209
536	1398	1206
537	1401	1203
538	1404	1200
539	1406	1198
540	1408	1195
541	1411	1192
542	1413	1189
543	1415	1186
544	1419	1184
545	1421	1181
546	1423	1178
547	1425	1176
548	1428	1173
549	1430	1170
550	1433	1168
551	1436	1165
552	1439	1163
553	1441	1160
554	1444	1158
555	1447	1155
556	1450	1153
557	1452	1150
558	1454	1147
559	1457	1144
560	1459	1141
561	1461	1139
562	1464	1136
563	1466	1133
564	1468	1130
565	1470	1127
566	1473	1125
567	1475	1122
568	1477	1119
569	1480	1117
570	1483	1114
571	1485	1111
572	1487	1108
573	1489	1105
574	1492	1102
575	1494	1100
576	1497	1097
577	1499	1094
578	1501	1091
579	1503	1088
580	1505	1085
581	1507	1082
582	1510	1080
583	1512	1077
584	1514	1074
585	1516	1071
586	1518	1068
587	1520	1065
588	1523	1062
589	1525	1059
590	1528	1057
591	1530	1054
592	1532	1051
593	1534	1049
594	1537	1046
595	1539	1043
596	1542	1041
597	1544	1038
598	1547	1035
599	1549	1032
600	1551	1030
601	1554	1027
602	1557	1025
603	1559	1022
604	1562	1019
605	1564	1017
606	1566	1014
607	1568	1011
608	1570	1008
609	1574	1006
610	1576	1003
611	1578	1000
612	1580	998
613	1583	995
614	1585	992
615	1588	989
616	1590	987
617	1593	984
618	1595	981
619	1597	979
620	1599	976
621	1602	973
622	1605	971
623	1608	969
624	1610	966
625	1612	963
626	1615	960
627	1617	958
628	1621	956
629	1623	953
630	1625	950
631	1628	947
632	1630	945
633	1632	942
634	1634	939
635	1637	937
636	1640	934
637	1642	932
638	1645	929
639	1647	926
640	1649	923
641	1652	921
642	1654	918
643	1657	915
644	1659	913
645	1661	910
646	1663	907
647	1666	905
648	1668	902
649	1671	899
650	1673	897
651	1675	894
652	1677	891
653	1679	888
654	1683	886
655	1685	883
656	1688	881
657	1691	878
658	1693	876
659	1695	873
660	1699	871
661	1701	868
662	1703	865
663	1705	863
664	1707	860
665	1710	857
666	1712	855
667	1715	852
668	1717	849
669	1719	847
670	1721	844
671	1724	841
672	1726	838
673	1729	836
674	1731	833
675	1733	831
676	1736	828
677	1738	825
678	1740	822
679	1743	820
680	1745	817
681	1748	815
682	1750	812
683	1753	809
684	1755	807
685	1758	804
686	1760	802
687	1762	799
688	1765	796
689	1767	794
690	1769	791
691	1772	788
692	1774	786
693	1777	783
694	1779	780
695	1781	778
696	1784	775
697	1786	772
698	1788	770
699	1791	767
700	1793	765
701	1795	762
702	1798	759
703	1800	757
704	1803	754
705	1805	751
706	1813	751
707	1816	748
708	1818	746
709	1820	743
710	1824	741
711	1826	738
712	1828	736
713	1831	733
714	1833	730
715	1835	728
716	1838	725
717	1843	724
718	1846	721
719	1848	718
720	1850	716
721	1853	713
722	1855	710
723	1858	708
724	1860	705
725	1863	703
726	1865	700
727	1867	697
728	1870	695
729	1872	692
730	1874	689
731	1876	687
732	1878	684
733	1880	681
734	1883	679
735	1886	676
736	1888	673
737	1890	671
738	1893	668
739	1895	665
740	1897	663
741	1900	660
742	1902	658
743	1905	655
744	1907	652
745	1909	650
746	1911	647
747	1914	644
748	1916	642
749	1918	639
750	1920	636
751	1923	634
752	1925	631
753	1927	628
754	1930	626
755	1932	623
756	1934	621
757	1937	618
758	1939	615
759	1941	613
760	1944	610
761	1947	608
762	1949	605
763	1951	602
764	1954	600
765	1956	597
766	1958	595
767	1962	592
768	1964	590
769	1968	587
770	1970	585
771	1972	582
772	1975	580
773	1978	577
774	1980	575
775	1983	572
776	1985	569
777	1988	567
778	1990	564
779	1993	562
780	1995	559
781	1997	556
782	2000	554
783	2002	551
784	2004	549
785	2006	546
786	2011	544
787	2013	541
788	2016	539
789	2018	536
790	2020	533
791	2023	531
792	2027	529
793	2031	527
794	2033	524
795	2036	521
796	2038	519
797	2041	516
798	2044	514
799	2046	511
800	2048	509
801	2051	506
802	2053	503
803	2056	501
804	2058	498
805	2061	496
806	2063	493
807	2066	490
808	2068	488
809	2072	486
810	2074	483
811	2076	480
812	2078	478
813	2080	475
814	2083	472
815	2086	470
816	2089	467
817	2091	465
818	2093	462
819	2096	460
820	2098	457
821	2100	454
822	2103	452
823	2106	449
824	2108	447
825	2110	444
826	2113	442
827	2115	439
828	2118	436
829	2120	434
830	2122	431
831	2125	429
832	2127	426
833	2129	423
834	2132	421
835	2135	418
836	2137	416
837	2140	413
838	2142	411
839	2144	408
840	2146	405
841	2149	403
842	2152	400
843	2154	398
844	2156	395
845	2159	393
846	2161	390
847	2163	387
848	2166	385
849	2169	382
850	2171	380
851	2174	377
852	2176	375
853	2178	372
854	2181	370
855	2184	367
856	2186	364
857	2188	362
858	2190	359
859	2193	357
860	2195	354
861	2198	351
862	2200	349
863	2202	346
864	2205	344
865	2207	341
866	2209	338
867	2213	336
868	2215	334
869	2218	331
870	2220	328
871	2222	326
872	2224	323
873	2227	321
874	2231	318
875	2234	316
876	2237	313
877	2239	311
878	2242	308
879	2245	306
880	2248	303
881	2250	301
882	2253	298
883	2255	295
884	2258	293
885	2261	290
886	2263	288
887	2265	285
888	2267	283
889	2270	280
890	2272	278
891	2276	275
892	2278	273
893	2280	270
894	2283	267
895	2285	265
896	2287	262
897	2289	260
898	2292	257
899	2294	254
900	2297	252
901	2299	249
902	2301	247
903	2303	244
904	2306	242
905	2309	239
906	2311	236
907	2313	234
908	2315	231
909	2317	229
910	2320	226
911	2323	224
912	2326	221
913	2328	219
914	2331	216
915	2334	214
916	2336	211
917	2339	208
918	2341	206
919	2344	203
920	2346	201
921	2348	198
922	2350	196
923	2353	193
924	2356	191
925	2359	188
926	2361	185
927	2363	183
928	2366	180
929	2369	178
930	2371	175
931	2373	173
932	2376	170
933	2378	168
934	2381	165
935	2384	163
936	2386	160
937	2388	157
938	2390	155
939	2393	152
940	2395	150
941	2398	147
942	2401	145
943	2403	142
944	2406	140
945	2408	137
946	2411	134
947	2413	132
948	2416	129
949	2419	127
950	2421	124
951	2424	122
952	2426	119
953	2428	117
954	2433	114
955	2451	112
956	2458	110
957	2461	107
958	2464	105
959	2467	102
960	2470	100
961	2472	97
962	2475	95
963	2478	92
964	2481	90
965	2484	87
966	2486	84
967	2489	82
968	2492	79
969	2495	77
970	2497	74
971	2500	72
972	2502	69
973	2504	66
974	2506	64
975	2509	61
976	2511	59
977	2514	56
978	2516	53
979	2518	51
980	2520	48
981	2522	46
982	2526	43
983	2528	41
984	2530	38
985	2533	35
986	2535	33
987	2537	30
988	2540	28
989	2542	25
990	2544	23
991	2547	20
992	2549	17
993	2551	15
994	2554	12
995	2557	10
996	2559	7
997	2561	5
998	2564	2
999	2566	0
