iter	Logloss
0	0.690305012
1	0.6861996534
2	0.682348546
3	0.6779580465
4	0.6737907844
5	0.6698048289
6	0.6666123305
7	0.6637211001
8	0.6601684074
9	0.6564122022
10	0.6534745131
11	0.6496591956
12	0.6459869137
13	0.643317556
14	0.6402157419
15	0.6375443373
16	0.6339554825
17	0.6308652056
18	0.627951087
19	0.625134848
20	0.6220010897
21	0.6192078629
22	0.6154055091
23	0.6124468548
24	0.6094669869
25	0.6073913574
26	0.6053634271
27	0.6030501699
28	0.6001259408
29	0.5973541756
30	0.5947668804
31	0.5918708739
32	0.5891463117
33	0.5866488325
34	0.5837517095
35	0.5818697301
36	0.5798502976
37	0.5781843604
38	0.576194329
39	0.5738133996
40	0.572144299
41	0.5693948637
42	0.5669157447
43	0.5651847405
44	0.5630263042
45	0.5604353494
46	0.5579948115
47	0.5551826043
48	0.5528889478
49	0.5505719069
50	0.5484516175
51	0.5461204963
52	0.5445624871
53	0.5425122269
54	0.5406038858
55	0.5385897256
56	0.5367405589
57	0.5348462981
58	0.5333931776
59	0.531618692
60	0.5300301653
61	0.5290964018
62	0.5278334579
63	0.5258512419
64	0.5243091118
65	0.5228982321
66	0.5214260691
67	0.5197677302
68	0.5180382767
69	0.516640888
70	0.5146917328
71	0.5128203601
72	0.5109396213
73	0.5094227364
74	0.5076784894
75	0.5058962194
76	0.5041844438
77	0.5028284585
78	0.5018485465
79	0.5004526464
80	0.4987988356
81	0.4973799543
82	0.4960184485
83	0.4948231767
84	0.493329366
85	0.4922942495
86	0.4910540697
87	0.4898776543
88	0.4888861431
89	0.4874828308
90	0.4860069151
91	0.4848763691
92	0.4836232255
93	0.4824042592
94	0.4814053047
95	0.4802326419
96	0.4791121444
97	0.4778704139
98	0.476937767
99	0.4756216034
100	0.4745604973
101	0.4732795653
102	0.4721893062
103	0.471053674
104	0.4697813019
105	0.4686025604
106	0.4676203534
107	0.4668772628
108	0.4657732956
109	0.4645923521
110	0.4635214457
111	0.4625084109
112	0.4616358997
113	0.4605717233
114	0.4592969631
115	0.4580941549
116	0.457276135
117	0.4563586848
118	0.4561319119
119	0.4550999897
120	0.4542939721
121	0.4533450739
122	0.4522285772
123	0.451574124
124	0.4503968092
125	0.4496824063
126	0.4487229944
127	0.4478947709
128	0.4470188792
129	0.4464578396
130	0.4456396956
131	0.4447930809
132	0.4439368519
133	0.443040305
134	0.4421170863
135	0.4411348172
136	0.4403012904
137	0.4397145403
138	0.4390898294
139	0.4380966435
140	0.4374073618
141	0.4368308463
142	0.4360325201
143	0.4352041105
144	0.4340472648
145	0.4332662443
146	0.4324504573
147	0.4316112859
148	0.4309071487
149	0.4302843606
150	0.429247073
151	0.4284867077
152	0.427215266
153	0.4266362694
154	0.4258978929
155	0.425192298
156	0.4244514093
157	0.4236403985
158	0.4229362302
159	0.4223023391
160	0.4217997605
161	0.421211987
162	0.4203908657
163	0.4194546211
164	0.418595849
165	0.4180839663
166	0.4174242407
167	0.4164434293
168	0.4157534964
169	0.4151747789
170	0.4147735224
171	0.4142786972
172	0.4136908927
173	0.4131988277
174	0.4123133838
175	0.4114204965
176	0.4110289783
177	0.4104635657
178	0.409913567
179	0.4093014477
180	0.4088943606
181	0.4084251528
182	0.4079656834
183	0.4075846788
184	0.4066416733
185	0.4061068093
186	0.4054731043
187	0.40503184
188	0.4043315484
189	0.4036081516
190	0.4030133999
191	0.4025621802
192	0.4019497507
193	0.4013332584
194	0.4006897531
195	0.4000986611
196	0.3995463364
197	0.3990008036
198	0.3982254587
199	0.3975862022
200	0.3968868721
201	0.3961578617
202	0.3955836412
203	0.3950230978
204	0.3943574487
205	0.3938014953
206	0.3933259607
207	0.3927772646
208	0.3923877933
209	0.3920106655
210	0.3913726807
211	0.3908931453
212	0.3901952108
213	0.3896905542
214	0.389339323
215	0.3888710456
216	0.3883134795
217	0.3877047097
218	0.3871149823
219	0.3866319734
220	0.3861806916
221	0.3856930306
222	0.3850438188
223	0.3845320911
224	0.383985628
225	0.3836093685
226	0.3830025526
227	0.3826473825
228	0.3821456413
229	0.381664028
230	0.3811326686
231	0.3805005764
232	0.3800491705
233	0.3795930196
234	0.3790732593
235	0.3786690875
236	0.3783255476
237	0.3778558436
238	0.3774547732
239	0.3771089073
240	0.3767050146
241	0.3766200368
242	0.3763082551
243	0.3758313869
244	0.3754709756
245	0.3749439271
246	0.3745249306
247	0.3739488493
248	0.3734868678
249	0.373262576
250	0.3728347716
251	0.3722607062
252	0.3718299556
253	0.3712314513
254	0.3707270118
255	0.3702033128
256	0.3698160435
257	0.3692005437
258	0.3686090485
259	0.3681662955
260	0.3678801002
261	0.3674114817
262	0.3670236851
263	0.3667736519
264	0.3663698522
265	0.3660421604
266	0.3656627996
267	0.3652292887
268	0.3648720098
269	0.3644669696
270	0.3641716562
271	0.3639695703
272	0.3636218746
273	0.3632808158
274	0.3629391678
275	0.3626659362
276	0.3623987834
277	0.3621415859
278	0.3618311378
279	0.3613830194
280	0.3609263102
281	0.360644891
282	0.3601906009
283	0.3597403115
284	0.3593623464
285	0.3589550111
286	0.3586901223
287	0.3583948709
288	0.3580699083
289	0.3578935639
290	0.357415083
291	0.3571555285
292	0.356713892
293	0.3563876578
294	0.356080187
295	0.3556369688
296	0.3553627138
297	0.355043985
298	0.3547883693
299	0.3545544632
300	0.35436959
301	0.3540197233
302	0.3535232544
303	0.3532361286
304	0.3531372567
305	0.3528911932
306	0.3525309989
307	0.3522276219
308	0.3519219499
309	0.3515885826
310	0.3514205188
311	0.3511269422
312	0.3508935324
313	0.3506941757
314	0.3504789089
315	0.3502146403
316	0.3497448433
317	0.3493611095
318	0.3492573994
319	0.3490749452
320	0.348685598
321	0.3480980106
322	0.3479312183
323	0.3477238291
324	0.347393377
325	0.3471035841
326	0.3467878326
327	0.346354973
328	0.3458621638
329	0.3454606901
330	0.3448920521
331	0.3446930676
332	0.3443644144
333	0.3441902409
334	0.3438520354
335	0.3434916551
336	0.3430491502
337	0.3427583028
338	0.3423753444
339	0.3420181585
340	0.3416010539
341	0.3413000339
342	0.3408877055
343	0.3406096668
344	0.340488899
345	0.3402426185
346	0.3400539615
347	0.3397527555
348	0.3393998805
349	0.3391755887
350	0.3388665052
351	0.3387612444
352	0.3385164524
353	0.3381562892
354	0.3378914003
355	0.3377249493
356	0.3372760245
357	0.3370992769
358	0.3365990864
359	0.3363068743
360	0.3360749532
361	0.335658748
362	0.3354619034
363	0.3352444656
364	0.3350291368
365	0.3347835386
366	0.334436122
367	0.3342087288
368	0.3337509651
